# Constructed from biom file
#OTU ID	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
Unassigned;Other;Other;Other;Other;Other	0.027027027027	0.00671140939597	0.0133333333333	0.00684931506849	0.0	0.00671140939597	0.00680272108844	0.0134228187919	0.02
k__Bacteria;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00671140939597	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0134228187919	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.00675675675676	0.0	0.0	0.00684931506849	0.0	0.0	0.0	0.0	0.0133333333333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.00675675675676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.027027027027	0.10067114094	0.0	0.0	0.0	0.0	0.0	0.0	0.0666666666667
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.162162162162	0.0469798657718	0.0	0.013698630137	0.0134228187919	0.0268456375839	0.12925170068	0.0	0.306666666667
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.0202702702703	0.0	0.0	0.0	0.0	0.0	0.00680272108844	0.0	0.0133333333333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	0.00671140939597	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.0405405405405	0.134228187919	0.02	0.0479452054795	0.00671140939597	0.0	0.0136054421769	0.0738255033557	0.113333333333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.418918918919	0.208053691275	0.18	0.0753424657534	0.0604026845638	0.362416107383	0.136054421769	0.214765100671	0.106666666667
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	0.0	0.0201342281879	0.0	0.0	0.0	0.0	0.0	0.0	0.00666666666667
