# Constructed from biom file
#OTU ID	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
Unassigned;Other;Other	0.027027027027	0.00671140939597	0.0133333333333	0.00684931506849	0.0	0.00671140939597	0.00680272108844	0.0134228187919	0.02
k__Bacteria;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00671140939597	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.00675675675676	0.0	0.0	0.00684931506849	0.0	0.0	0.0	0.0134228187919	0.0133333333333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.675675675676	0.530201342282	0.2	0.143835616438	0.0805369127517	0.389261744966	0.285714285714	0.288590604027	0.64
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0472972972973	0.0134228187919	0.0	0.0	0.0	0.0	0.0	0.0201342281879	0.0333333333333
k__Bacteria;p__Firmicutes;c__Bacilli	0.027027027027	0.0	0.0933333333333	0.0890410958904	0.107382550336	0.0335570469799	0.0136054421769	0.00671140939597	0.02
k__Bacteria;p__Firmicutes;c__Clostridia	0.195945945946	0.436241610738	0.686666666667	0.712328767123	0.798657718121	0.389261744966	0.69387755102	0.469798657718	0.213333333333
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.0135135135135	0.00671140939597	0.0	0.0342465753425	0.0134228187919	0.147651006711	0.0	0.154362416107	0.0266666666667
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.00675675675676	0.00671140939597	0.0	0.00684931506849	0.0	0.0	0.0	0.00671140939597	0.0133333333333
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0335570469799	0.0	0.0134228187919	0.0
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133333333333
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	0.0	0.00666666666667	0.0	0.0	0.0	0.0	0.00671140939597	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00666666666667
