# Constructed from biom file
#OTU ID	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
Unassigned;Other	0.027027027027	0.00671140939597	0.0133333333333	0.00684931506849	0.0	0.00671140939597	0.00680272108844	0.0134228187919	0.02
k__Bacteria;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00671140939597	0.0
k__Bacteria;p__Actinobacteria	0.00675675675676	0.0	0.0	0.00684931506849	0.0	0.0	0.0	0.0134228187919	0.0133333333333
k__Bacteria;p__Bacteroidetes	0.675675675676	0.530201342282	0.2	0.143835616438	0.0805369127517	0.389261744966	0.285714285714	0.288590604027	0.64
k__Bacteria;p__Deferribacteres	0.0472972972973	0.0134228187919	0.0	0.0	0.0	0.0	0.0	0.0201342281879	0.0333333333333
k__Bacteria;p__Firmicutes	0.236486486486	0.442953020134	0.78	0.835616438356	0.919463087248	0.570469798658	0.707482993197	0.630872483221	0.26
k__Bacteria;p__Proteobacteria	0.00675675675676	0.00671140939597	0.0	0.00684931506849	0.0	0.0335570469799	0.0	0.0201342281879	0.0133333333333
k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0133333333333
k__Bacteria;p__Tenericutes	0.0	0.0	0.00666666666667	0.0	0.0	0.0	0.0	0.00671140939597	0.0
k__Bacteria;p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00666666666667
